BMS_Object ID,BMS_Item Reference,BMS_Object Type,BMS_Name,Point_Type,BMS_Units,Interval Sec,DC,Block,Floor
7656ce1f-9546-55a7-90e4-69a8cefabb73,HMS-T:SNE-T2-L27-01/FC1.VAV-34.DPR-O,AO Mapper,DPR-O,,,0,FALSE,,
e4b7bae7-3d6a-5dc4-b59a-dd238b8584a9,HMS-T:SNE-T1-L27-01/FC1.VAV-62H,JCI Family BACnet Device,VAV-62H,,,0,FALSE,,
c3b3dcb1-a2ba-5729-8b9c-83809a475613,HMS-T:SNE-T2-L25-01/FC1.VAV-28,JCI Family BACnet Device,VAV-28,,,0,FALSE,,
abd03db8-38f5-5d1c-a1f7-853192ee4f10,HMS-T:SNE-T2-RF-01/FC1.WCC-01.AV-21,BACnet AV,HEAT_EX_EST,,,0,FALSE,,
089fc208-55b7-5b94-8fd0-b910f6eeed72,HMS-T:SNE-T1-L27-01/FC1.VAV-20H.CLG-MAXFLOW,AV Mapper,CLG-MAXFLOW,,,0,FALSE,,
0ea2577d-628f-56d3-bcd1-379cb45c40ca,HMS-T:SNE-T2-L29-01/FC1.VAV-18H.SA-F,AV Mapper,SA-F,,,0,FALSE,,
15767833-ad95-5a50-940f-00956a335d66,HMS-T:SNE-T2-L31-01/FC1.AHU-02.AHU-CRWT,AV Mapper,AHU-CRWT,,,0,FALSE,,
17e000ba-d721-56a7-89f4-f351a4c963bc,HMS-T:SNE-T1-L18-01/FC1.VAV-36.DA-VP,AI Mapper,DA-VP,,,0,FALSE,,
1b3cd14a-0a15-5e4e-b167-b8755dc84736,HMS-T:SNE-T1-L31-01/FC1.DDC-T1-L31-03.EAFT1L3106-M,BI Mapper,EAFT1L3106-M,,,0,FALSE,,
aca3dd30-06e3-575c-a566-0eef03a517bd,HMS-T:SNE-T2-L25-01/FC1.VAV-08H.ZN-T,AI Mapper,ZN-T,,,0,FALSE,,
05a9c2c3-3a7f-5c1a-a037-61ba0da6a902,HMS-T:SNE-T1-L23-01/FC1.VAV-54.SA-F,AV Mapper,SA-F,,,0,FALSE,,
13fbca11-eeac-526b-84af-1cdcb07f5b6d,HMS-T:SNE-T1-L16-01/FC1.VAV-73H.DA-VP,AI Mapper,DA-VP,,,0,FALSE,,
3b4b5c3d-2461-5038-ac5b-858b06bc2c38,HMS-T:SNE-T2-RF-01/FC1.DDC-T2-R-04A.CHWP-T2-06-D-P,AI Mapper,CHWP-T2-06-D-P,,,0,FALSE,,
7f8e69fc-e7ca-557b-9d4c-3d87cd9d94b6,HMS-T:SNE-T2-L33-01/FC1.VAV-63H.SA-F,AV Mapper,SA-F,,,0,FALSE,,
9b934e77-59bc-5a1a-8e08-1b739ccb3677,HMS-T:SNE-T2-L15-01/FC1.VAV-89H.TUNING-RESET,BV Mapper,TUNING-RESET,,,0,FALSE,,
bad313b5-0117-5926-829d-6963fd702fad,HMS-T:SNE-T2-L20-01/FC1.VAV-13H.ZN-T,AI Mapper,ZN-T,,,0,FALSE,,
f54e3f1c-a35d-50e6-899e-9fe28f011edd,HMS-T:SNE-T1-L12-01/FC1.VAV-13.ZN-T,AI Mapper,ZN-T,,,0,FALSE,,
d4e1b415-de74-5a88-839c-10875dea80f2,HMS-T:SNE-T1-L28-01/FC1.VAV-09.DPR-O,AO Mapper,DPR-O,,,0,FALSE,,
ded5353d-e660-5376-931d-620f6c79a63f,HMS-T:SNE-T2-L22-01/FC1.VAV-60H.DA-VP,AI Mapper,DA-VP,,,0,FALSE,,
01a253d9-3e02-5443-8096-2bf8471c722c,HMS-T:SNE-T1-L25-01/FC1.VAV-67.ZN-T-SP,AV Mapper,ZN-T-SP,,,0,FALSE,,
7418f0e5-d6a1-5de7-b086-9d22a7bc3215,HMS-T:SNE-T2-L25-01/FC1.VAV-13H.ZN-T-SP,AV Mapper,ZN-T-SP,,,0,FALSE,,
823f4555-73b9-5b8f-8c66-ad0c72db63ca,HMS-T:SNE-T2-L27-01/FC1.VAV-67,JCI Family BACnet Device,VAV-67,,,0,FALSE,,
a18a1bc5-7b7b-5955-a194-3501954b40a7,HMS-T:SNE-T1-L32-01/FC1.VAV-53H.TUNING-RESET,BV Mapper,TUNING-RESET,,,0,FALSE,,
a2863ce8-93a0-5d72-803a-07d37e08d64a,HMS-T:SNE-T2-L33-01/FC1.DDC-T2-L32-02C.EAFT2L3201-MA,BI Mapper,EAFT2L3201-MA,,,0,FALSE,,
a2c9edea-5efb-50dd-b9c6-9bcbdc8260f6,HMS-T:SNE-T1-L29-01/FC1.VAV-48H,JCI Family BACnet Device,VAV-48H,,,0,FALSE,,
e750af44-4de6-5eb3-a974-8040265144de,HMS-T:SNE-T2-L29-01/FC1.DDC-T2-L28-02C.EAFT2L2801-FT,BI Mapper,EAFT2L2801-FT,,,0,FALSE,,
0e2d2851-74aa-5a2e-a257-f6d0bf6cd1b5,HMS-T:SNE-T2-L33-01/FC1.VAV-32.TUNING-RESET,BV Mapper,TUNING-RESET,,,0,FALSE,,
4d0282e8-1301-593f-a165-90a1b54a29b9,HMS-T:SNE-T2-L25-01/FC1.VAV-77H.TUNING-RESET,BV Mapper,TUNING-RESET,,,0,FALSE,,
838085e6-4a8c-5065-813c-6671158d3b3d,HMS-T:SNE-T1-L35-01/FC1.VAV-07H.DPR-O,AO Mapper,DPR-O,,,0,FALSE,,
989f6824-7bd4-5140-a3d9-006e30f67fdc,HMS-T:SNE-T1-L23-01/FC1.LTG-01.LTG-07-C,BO Mapper,LTG-07-C,,,0,FALSE,,
af682633-c932-5c61-b679-f9f70f8ae003,HMS-T:SNE-T1-L18-01/FC1.VAV-23H.DPR-O,AO Mapper,DPR-O,,,0,FALSE,,
315ea6af-0449-5f2c-b728-ad052546ea9e,HMS-T:SNE-T1-L36-02/FC1.DDC-T1-R-04.EAF-T1-RF-05-FS,BI Mapper,EAF-T1-RF-05-FS,,,0,FALSE,,
25b86b44-fc88-5dfc-9dc1-60ac624843c4,HMS-T:SNE-T1-L20-01/FC1.VAV-10H.SA-F,AV Mapper,SA-F,,,0,FALSE,,
4406b966-b1f6-50ce-b76e-e562cbd36453,HMS-T:SNE-T2-L29-01/FC1.VAV-31.ZN-T-SP,AV Mapper,ZN-T-SP,,,0,FALSE,,
ed5a2409-c406-51fb-8d4c-66e6eeb8c291,HMS-T:SNE-T2-L25-01/FC1.VAV-63H.DA-VP,AI Mapper,DA-VP,,,0,FALSE,,
43c38318-312d-5e13-854a-b1f1e7da95fc,HMS-T:SNE-T2-L17-01/FC1.AHU-01.AHU-AFS,BI Mapper,AHU-AFS,,,0,FALSE,,
88b5cc45-d5b2-5395-8162-4c6a13e93fcf,HMS-T:SNE-T1-L33-01/FC1.AHU-02.AHU-SAD2-P,AI Mapper,AHU-SAD2-P,,,0,FALSE,,
e45c44d9-ce36-5ec8-be99-37fd8ebf8fb3,HMS-T:SNE-T1-L33-01/FC1.VAV-24H.TUNING-RESET,BV Mapper,TUNING-RESET,,,0,FALSE,,
02fdaabf-e355-50ae-9dd0-6386cfd43c05,HMS-T:SNE-T1-L33-01/FC1.VAV-48H.ZN-T,AI Mapper,ZN-T,,,0,FALSE,,
142dd1a8-d9db-5a8f-8faf-a2dc1efe4e46,HMS-T:SNE-T1-L36-01/FC1.VAV-44H.TUNING-RESET,BV Mapper,TUNING-RESET,,,0,FALSE,,
5d935cb2-7adc-5acb-b4d5-d4afc68e86df,HMS-T:SNE-T1-L29-01/FC1.VAV-22.ZN-T,AI Mapper,ZN-T,,,0,FALSE,,
ffdfe3c0-29ae-5ddc-9567-76a195a52d3d,HMS-T:SNE-T2-L36-01/FC1.VAV-09.DA-VP,AI Mapper,DA-VP,,,0,FALSE,,
015b68df-9346-52cf-a686-b4c7ba9b8960,HMS-T:SNE-T1-L28-01/FC1.DDC-T1-L28-03.EAFT1L2806-FT,BI Mapper,EAFT1L2806-FT,,,0,FALSE,,
55074d54-87fc-59a1-98e7-7393dd043055,HMS-T:SNE-T1-L29-01/FC1.VAV-14.ZN-T,AI Mapper,ZN-T,,,0,FALSE,,
76030ce5-df05-5f77-93c0-ff93e9c793d0,HMS-T:SNE-T1-L20-01/FC1.VAV-64.DPR-O,AO Mapper,DPR-O,,,0,FALSE,,
b37feed3-2866-5fba-ad56-71ca21f00e3b,HMS-T:SNE-T2-L31-01/FC1.VAV-31.SA-F,AV Mapper,SA-F,,,0,FALSE,,
b266c4e9-0baf-57bf-8cda-268a953e39b7,HMS-T:SNE-T2-RF-01/FC1.WCC-02.AV-39,BACnet AV,POWER_LN_AMPS3,,,0,FALSE,,
b6b46d02-1a0e-578e-b13a-146d8cb6ab29,HMS-T:SNE-T1-L16-01/FC1.VAV-43H.TUNING-RESET,BV Mapper,TUNING-RESET,,,0,FALSE,,
cdd57474-0c95-50df-98a5-078c0a91e179,HMS-T:SNE-T2-L36-01/FC1.VAV-20.DA-VP,AI Mapper,DA-VP,,,0,FALSE,,
e1d1d680-da0d-53e5-b3ed-2fee53075708,HMS-T:SNE-T1-L16-01/FC1.VAV-07H.DA-VP,AI Mapper,DA-VP,,,0,FALSE,,
187e345f-50a9-5314-85f7-bfc3cf840361,HMS-T:SNE-T1-L25-01/FC1.VAV-22,JCI Family BACnet Device,VAV-22,,,0,FALSE,,
9342e9b2-cd7c-5849-9a97-8f8417d96ac3,HMS-T:SNE-T2-L15-01/FC1.VAV-39H.ZN-T,AI Mapper,ZN-T,,,0,FALSE,,
a2b7be93-dd21-5a17-a022-52b2abfcd98b,HMS-T:SNE-T1-L25-01/FC1.AHU-01.AHU-CV-S,AV Mapper,AHU-CV-S,,,0,FALSE,,
bef43a0b-460c-561e-8af6-f773e54af045,HMS-T:SNE-T1-L30-01/FC1.VAV-39.TUNING-RESET,BV Mapper,TUNING-RESET,,,0,FALSE,,
4cce2db9-39ce-537a-a86b-7d5cee3ace32,HMS-T:SNE-T1-L25-01/FC1.VAV-72H.CLGUNOCC-MINFLOW,AV Mapper,CLGUNOCC-MINFLOW,,,0,FALSE,,
dc30f8e6-43e1-528a-ac7a-2e8b1205b5e5,HMS-T:SNE-T2-L15-01/FC1.VAV-20.TUNING-RESET,BV Mapper,TUNING-RESET,,,0,FALSE,,
40157dc4-a8f4-5901-bfec-20f32738d57b,HMS-T:SNE-T1-L23-01/FC1.VAV-33,JCI Family BACnet Device,VAV-33,,,0,FALSE,,
